Timestamp,Ora_Selectata,Zona,Locuri_Libere,Grad_Ocupare
2026-01-20 17:07:07,14,Robotica,22,72.15
2026-01-20 17:07:07,14,Automatica,33,65.62
2026-01-20 17:07:07,14,Rectorat,8,82.22
2026-01-20 17:07:07,14,Transporturi,1,95.0
